#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
8717535542340,0.0000000000,0.0000000000,0.0000000000,0.7445329403,-0.6674773137,-0.0120306471,0.0000000000
8717568837640,0.0000134608,0.0000061980,-0.0000505531,0.7445252586,-0.6674857840,-0.0120360889,-0.0000060699
8717602120040,0.0000534699,0.0000207218,-0.0001990688,0.7445164985,-0.6674953224,-0.0120489831,0.0000019532
8717635410240,0.0001333068,0.0000458176,-0.0004473096,0.7445109545,-0.6675014610,-0.0120514744,0.0000084578
8717668700740,-0.0003298788,-0.0002146531,0.0004436375,0.7429145636,-0.6692459042,-0.0136176824,-0.0015587178
8717701987840,-0.0005260602,-0.0004161645,0.0009171889,0.7412778943,-0.6710527784,-0.0138603442,-0.0017727950
8717735276540,-0.0006674164,-0.0005130988,0.0007526643,0.7424476265,-0.6697561906,-0.0139501561,-0.0018868254
8717768566540,-0.0007222372,-0.0003593581,0.0007609510,0.7410152694,-0.6713470999,-0.0136715827,-0.0015905728
8717801856240,-0.0007989666,-0.0004406238,0.0009118035,0.7417884214,-0.6705010303,-0.0132825808,-0.0013708676
8717835144440,-0.0007562256,-0.0006977490,0.0013338018,0.7426790929,-0.6695204737,-0.0129888668,-0.0011788457
8717868434840,-0.0007345956,-0.0005402283,0.0006873290,0.7435677729,-0.6685363784,-0.0128516015,-0.0009560916
8717901738440,-0.0002687144,-0.0012042887,0.0016498616,0.7441268821,-0.6679184133,-0.0126306213,-0.0008023799
8717935012740,-0.0002592148,-0.0014469398,0.0018906137,0.7442304763,-0.6677953905,-0.0129974674,-0.0011749145
8717968302840,-0.0003576501,-0.0014373471,0.0019106419,0.7441962306,-0.6678321908,-0.0130594567,-0.0012592687
8718001612240,-0.0003647059,-0.0012709771,0.0014972141,0.7447851446,-0.6671743586,-0.0131098266,-0.0012633675
8718034880440,-0.0002591069,-0.0008715378,0.0009219173,0.7447500768,-0.6672148715,-0.0130550142,-0.0010977141
8718068171240,-0.0002524589,-0.0009921516,0.0009815535,0.7447758044,-0.6671857589,-0.0130723384,-0.0011305828
8718101494140,-0.0002437146,-0.0010251803,0.0009584341,0.7447700689,-0.6671920650,-0.0130762525,-0.0011421228
8718134749640,-0.0003389588,-0.0011559147,0.0008402000,0.7446979275,-0.6672755472,-0.0129150804,-0.0012416297
8718168038640,-0.0001837453,-0.0009853878,0.0006095166,0.7447424043,-0.6672244827,-0.0129892827,-0.0012326861
8718201333440,-0.0001451677,-0.0007753500,0.0002954939,0.7448214766,-0.6671351084,-0.0130451804,-0.0012403445
8718234618140,-0.0002520802,-0.0006073706,-0.0000992413,0.7449502963,-0.6669889108,-0.0131609897,-0.0012795577
8718267906240,-0.0002984796,-0.0006057453,-0.0001733870,0.7448419896,-0.6671094866,-0.0131785971,-0.0012915067
8718301202240,-0.0000615989,-0.0005853338,-0.0001612916,0.7432504223,-0.6688946420,-0.0124883352,-0.0016760422
8718334486140,0.0001233447,-0.0001225767,-0.0006111795,0.7421006924,-0.6701844125,-0.0114946064,-0.0026999157
8718367831640,-0.0002340657,-0.0002236933,-0.0006696648,0.7430421264,-0.6691264645,-0.0122791010,-0.0027196608
8718401070340,-0.0009517088,-0.0002985141,-0.0010037613,0.7421694658,-0.6700399215,-0.0151906072,0.0004827758
8718434354140,-0.0011119347,0.0001992141,-0.0019049258,0.7351782244,-0.6775325512,-0.0197504871,0.0085169619
8718467643840,-0.0010959491,0.0020213127,-0.0030734241,0.7228253147,-0.6902554905,-0.0251476809,0.0209407834
8718500933040,-0.0010159446,0.0043398300,-0.0044863950,0.7075058677,-0.7040719846,-0.0423273734,0.0438916972
8718534222340,0.0013666722,0.0051601660,-0.0059770495,0.6864954857,-0.7209002405,-0.0649087432,0.0693804475
8718567510840,0.0056636552,-0.0002256266,-0.0071665463,0.6541173126,-0.7448591808,-0.0928055001,0.0932870907
8718600801940,0.0110546649,-0.0090651922,-0.0097025959,0.6154037959,-0.7706337131,-0.1170579128,0.1170439802
8718634090040,0.0174904056,-0.0187634919,-0.0117430734,0.5769400865,-0.7923815023,-0.1384915029,0.1417455292
8718667378940,0.0291957390,-0.0255306903,-0.0105097620,0.5495951204,-0.8045254987,-0.1569719323,0.1613807239
8718700669340,0.0493507646,-0.0348237939,-0.0004721569,0.5246802963,-0.8157915159,-0.1695906157,0.1744528942
8718733958440,0.0734544620,-0.0385579318,0.0087893102,0.5084155749,-0.8212823789,-0.1764522178,0.1894029361
8718767247040,0.1036062241,-0.0369989574,0.0206898041,0.5036447538,-0.8218796080,-0.1796166561,0.1964528668
8718800537340,0.1401282698,-0.0319174416,0.0356053859,0.5005942831,-0.8244070820,-0.1819854916,0.1914147532
8718833831940,0.1801314056,-0.0220945291,0.0513517857,0.4991566272,-0.8284361414,-0.1772785496,0.1819575142
8718867117240,0.2215435356,-0.0092665525,0.0667997822,0.5012186680,-0.8339553929,-0.1598146829,0.1666058721
8718900404940,0.2631917596,0.0061285752,0.0840520337,0.5018297751,-0.8405512700,-0.1412902992,0.1472327776
8718933699440,0.3018086553,0.0227167681,0.1000451818,0.5066406421,-0.8449568239,-0.1166439061,0.1255285813
8718966984640,0.3365178108,0.0427721515,0.1183724403,0.5015851132,-0.8535438559,-0.0957039794,0.1035181556
8719000272540,0.3606607914,0.0643297881,0.1373519152,0.4972676238,-0.8592911192,-0.0782434329,0.0906733033
8719033568540,0.3750858605,0.0884602815,0.1581638902,0.5001285909,-0.8598195293,-0.0640925048,0.0804606767
8719066852140,0.3785468936,0.1170641854,0.1796925813,0.5021849959,-0.8598976286,-0.0527384253,0.0748662589
8719100142540,0.3708649576,0.1498755515,0.2027236968,0.5101683296,-0.8556959487,-0.0451482533,0.0739888783
8719133436640,0.3552418947,0.1869923770,0.2290687263,0.5230282950,-0.8474755573,-0.0470979495,0.0775136472
8719166720640,0.3307011127,0.2278747708,0.2595324218,0.5439331963,-0.8331253276,-0.0446767756,0.0896819505
8719200011340,0.2953535616,0.2671988904,0.2938857675,0.5684841784,-0.8141803616,-0.0412626968,0.1106050072
8719233298440,0.2545001507,0.3081607819,0.3350884616,0.5945315535,-0.7909280096,-0.0476858135,0.1367156856
8719266588740,0.2098346949,0.3511520624,0.3818510473,0.6206614711,-0.7644246496,-0.0557946167,0.1652914216
8719299877140,0.1599928886,0.3893705606,0.4316351116,0.6446060874,-0.7366023958,-0.0595289258,0.1958474140
8719333199440,0.1099355370,0.4254983366,0.4848979712,0.6635451993,-0.7103597011,-0.0731692323,0.2230316725
8719366455740,0.0611716323,0.4585689604,0.5398418903,0.6812921275,-0.6832647432,-0.0927846074,0.2457261572
8719399748940,0.0136078913,0.4866608083,0.5944802761,0.6944872370,-0.6583876858,-0.1108077706,0.2682065822
8719433035640,-0.0294773020,0.5139294863,0.6488339901,0.7060586881,-0.6362111691,-0.1246519071,0.2849181977
8719466324540,-0.0685622469,0.5388798714,0.6991215944,0.7213537883,-0.6117789401,-0.1321493909,0.2964992058
8719499613140,-0.1058360040,0.5637895465,0.7428575158,0.7331061869,-0.5903172420,-0.1370956434,0.3086837492
8719532903740,-0.1384923607,0.5886353254,0.7761953473,0.7369343338,-0.5787690642,-0.1392422113,0.3202589024
8719566199840,-0.1668321192,0.6132035255,0.8003224730,0.7368103656,-0.5717001994,-0.1402410379,0.3325685170
8719599481140,-0.1921647787,0.6399052739,0.8144154549,0.7317549181,-0.5689380450,-0.1439879457,0.3465713667
8719632771240,-0.2143849432,0.6725805998,0.8176688552,0.7246055674,-0.5731846746,-0.1384724839,0.3566952085
8719666066740,-0.2271833718,0.7078117728,0.8150041699,0.7216993754,-0.5760057715,-0.1330892626,0.3600758406
8719699351040,-0.2341717780,0.7451291084,0.8027465343,0.7207357232,-0.5809414938,-0.1350885321,0.3532677266
8719732639440,-0.2383719087,0.7878636718,0.7874150276,0.7200641603,-0.5881301737,-0.1367890829,0.3419053242
8719765934240,-0.2356433421,0.8310782313,0.7636159062,0.7207264100,-0.5968898962,-0.1370270661,0.3248068300
8719799218940,-0.2287813872,0.8733413815,0.7326493263,0.7170244505,-0.6128599177,-0.1419276189,0.3002252648
8719832508740,-0.2208158374,0.9159698486,0.6983243227,0.7042169001,-0.6370553398,-0.1476335829,0.2764839540
